Benchmark,Suite,Var,Mean
Richards,Slowdown-100,1,173
Json,Slowdown-100,1,132
Richards,Slowdown-100,10,173
Json,Slowdown-100,10,132
Richards,Slowdown-100,2,173
Json,Slowdown-100,2,132
Richards,Slowdown-100,3,173
Json,Slowdown-100,3,132
Richards,Slowdown-100,4,173
Json,Slowdown-100,4,132
Richards,Slowdown-100,5,173
Json,Slowdown-100,5,132
Json,Slowdown-100,6,132
Richards,Slowdown-100,6,173
Richards,Slowdown-100,7,173
Json,Slowdown-100,7,132
Json,Slowdown-100,8,132
Richards,Slowdown-100,8,173
Richards,Slowdown-100,9,173
Json,Slowdown-100,9,132
CD,Slowdown-100,1,216
CD,Slowdown-100,10,216
CD,Slowdown-100,2,217
CD,Slowdown-100,3,216
CD,Slowdown-100,4,216
CD,Slowdown-100,5,216
CD,Slowdown-100,6,216
CD,Slowdown-100,7,217
CD,Slowdown-100,8,216
CD,Slowdown-100,9,216
Sieve,Slowdown-100,1,362
Bounce,Slowdown-100,1,227
List,Slowdown-100,1,360
Bounce,Slowdown-100,10,227
Sieve,Slowdown-100,10,363
List,Slowdown-100,10,360
List,Slowdown-100,2,360
Sieve,Slowdown-100,2,362
Bounce,Slowdown-100,2,229
List,Slowdown-100,3,360
Bounce,Slowdown-100,3,229
Sieve,Slowdown-100,3,362
Bounce,Slowdown-100,4,228
List,Slowdown-100,4,361
Sieve,Slowdown-100,4,362
List,Slowdown-100,5,360
Sieve,Slowdown-100,5,362
Bounce,Slowdown-100,5,229
Bounce,Slowdown-100,6,228
List,Slowdown-100,6,361
Sieve,Slowdown-100,6,362
Bounce,Slowdown-100,7,228
List,Slowdown-100,7,360
Sieve,Slowdown-100,7,363
List,Slowdown-100,8,360
Sieve,Slowdown-100,8,362
Bounce,Slowdown-100,8,227
Sieve,Slowdown-100,9,363
Bounce,Slowdown-100,9,227
List,Slowdown-100,9,360
NBody,Slowdown-100,1,217
NBody,Slowdown-100,10,217
NBody,Slowdown-100,2,217
NBody,Slowdown-100,3,216
NBody,Slowdown-100,4,216
NBody,Slowdown-100,5,216
NBody,Slowdown-100,6,216
NBody,Slowdown-100,7,216
NBody,Slowdown-100,8,217
NBody,Slowdown-100,9,216
Storage,Slowdown-100,1,304
Storage,Slowdown-100,10,304
Storage,Slowdown-100,2,304
Storage,Slowdown-100,3,304
Storage,Slowdown-100,4,304
Storage,Slowdown-100,5,304
Storage,Slowdown-100,6,304
Storage,Slowdown-100,7,304
Storage,Slowdown-100,8,304
Storage,Slowdown-100,9,304
Towers,Slowdown-100,1,233
Towers,Slowdown-100,10,233
Towers,Slowdown-100,2,233
Towers,Slowdown-100,3,233
Towers,Slowdown-100,4,233
Towers,Slowdown-100,5,233
Towers,Slowdown-100,6,233
Towers,Slowdown-100,7,233
Towers,Slowdown-100,8,233
Towers,Slowdown-100,9,233
Permute,Slowdown-100,1,192
Permute,Slowdown-100,10,192
Permute,Slowdown-100,2,192
Permute,Slowdown-100,3,192
Permute,Slowdown-100,4,192
Permute,Slowdown-100,5,192
Permute,Slowdown-100,6,192
Permute,Slowdown-100,7,192
Permute,Slowdown-100,8,192
Permute,Slowdown-100,9,192
Queens,Slowdown-100,1,136
Queens,Slowdown-100,10,136
Queens,Slowdown-100,2,136
Queens,Slowdown-100,3,136
Queens,Slowdown-100,4,136
Queens,Slowdown-100,5,137
Queens,Slowdown-100,6,136
Queens,Slowdown-100,7,136
Queens,Slowdown-100,8,136
Queens,Slowdown-100,9,136
DeltaBlue,Slowdown-100,1,395
DeltaBlue,Slowdown-100,10,398
DeltaBlue,Slowdown-100,2,396
DeltaBlue,Slowdown-100,3,398
DeltaBlue,Slowdown-100,4,399
DeltaBlue,Slowdown-100,5,396
DeltaBlue,Slowdown-100,6,398
DeltaBlue,Slowdown-100,7,395
DeltaBlue,Slowdown-100,8,396
DeltaBlue,Slowdown-100,9,396
Mandelbrot,Slowdown-100,1,259
Mandelbrot,Slowdown-100,10,259
Mandelbrot,Slowdown-100,2,259
Mandelbrot,Slowdown-100,3,259
Mandelbrot,Slowdown-100,4,259
Mandelbrot,Slowdown-100,5,259
Mandelbrot,Slowdown-100,6,259
Mandelbrot,Slowdown-100,7,259
Mandelbrot,Slowdown-100,8,259
Mandelbrot,Slowdown-100,9,259
Json,Slowdown-150,1,159
Richards,Slowdown-150,1,200
Json,Slowdown-150,10,160
Richards,Slowdown-150,10,201
Json,Slowdown-150,2,160
Richards,Slowdown-150,2,200
Richards,Slowdown-150,3,200
Json,Slowdown-150,3,160
Json,Slowdown-150,4,160
Richards,Slowdown-150,4,200
Json,Slowdown-150,5,160
Richards,Slowdown-150,5,200
Richards,Slowdown-150,6,201
Json,Slowdown-150,6,160
Json,Slowdown-150,7,160
Richards,Slowdown-150,7,200
Json,Slowdown-150,8,160
Richards,Slowdown-150,8,200
Json,Slowdown-150,9,160
Richards,Slowdown-150,9,200
CD,Slowdown-150,1,256
CD,Slowdown-150,10,255
CD,Slowdown-150,2,256
CD,Slowdown-150,3,255
CD,Slowdown-150,4,256
CD,Slowdown-150,5,255
CD,Slowdown-150,6,256
CD,Slowdown-150,7,256
CD,Slowdown-150,8,256
CD,Slowdown-150,9,255
Sieve,Slowdown-150,1,446
Bounce,Slowdown-150,1,276
List,Slowdown-150,1,440
Sieve,Slowdown-150,10,453
List,Slowdown-150,10,440
Bounce,Slowdown-150,10,277
List,Slowdown-150,2,440
Sieve,Slowdown-150,2,446
Bounce,Slowdown-150,2,277
List,Slowdown-150,3,440
Sieve,Slowdown-150,3,446
Bounce,Slowdown-150,3,277
List,Slowdown-150,4,440
Bounce,Slowdown-150,4,277
Sieve,Slowdown-150,4,453
Bounce,Slowdown-150,5,276
Sieve,Slowdown-150,5,446
List,Slowdown-150,5,440
Bounce,Slowdown-150,6,277
Sieve,Slowdown-150,6,453
List,Slowdown-150,6,440
List,Slowdown-150,7,440
Sieve,Slowdown-150,7,446
Bounce,Slowdown-150,7,280
Sieve,Slowdown-150,8,446
Bounce,Slowdown-150,8,276
List,Slowdown-150,8,440
Sieve,Slowdown-150,9,446
Bounce,Slowdown-150,9,277
List,Slowdown-150,9,440
NBody,Slowdown-150,1,270
NBody,Slowdown-150,10,270
NBody,Slowdown-150,2,270
NBody,Slowdown-150,3,270
NBody,Slowdown-150,4,270
NBody,Slowdown-150,5,270
NBody,Slowdown-150,6,270
NBody,Slowdown-150,7,270
NBody,Slowdown-150,8,270
NBody,Slowdown-150,9,270
Storage,Slowdown-150,1,251
Storage,Slowdown-150,10,251
Storage,Slowdown-150,2,252
Storage,Slowdown-150,3,251
Storage,Slowdown-150,4,251
Storage,Slowdown-150,5,251
Storage,Slowdown-150,6,251
Storage,Slowdown-150,7,251
Storage,Slowdown-150,8,251
Storage,Slowdown-150,9,252
Towers,Slowdown-150,1,295
Towers,Slowdown-150,10,295
Towers,Slowdown-150,2,295
Towers,Slowdown-150,3,295
Towers,Slowdown-150,4,295
Towers,Slowdown-150,5,295
Towers,Slowdown-150,6,295
Towers,Slowdown-150,7,295
Towers,Slowdown-150,8,295
Towers,Slowdown-150,9,295
Permute,Slowdown-150,1,238
Permute,Slowdown-150,10,238
Permute,Slowdown-150,2,238
Permute,Slowdown-150,3,238
Permute,Slowdown-150,4,238
Permute,Slowdown-150,5,238
Permute,Slowdown-150,6,238
Permute,Slowdown-150,7,238
Permute,Slowdown-150,8,238
Permute,Slowdown-150,9,238
Queens,Slowdown-150,1,170
Queens,Slowdown-150,10,170
Queens,Slowdown-150,2,170
Queens,Slowdown-150,3,171
Queens,Slowdown-150,4,170
Queens,Slowdown-150,5,171
Queens,Slowdown-150,6,170
Queens,Slowdown-150,7,170
Queens,Slowdown-150,8,170
Queens,Slowdown-150,9,170
DeltaBlue,Slowdown-150,1,481
DeltaBlue,Slowdown-150,10,488
DeltaBlue,Slowdown-150,2,484
DeltaBlue,Slowdown-150,3,485
DeltaBlue,Slowdown-150,4,482
DeltaBlue,Slowdown-150,5,485
DeltaBlue,Slowdown-150,6,495
DeltaBlue,Slowdown-150,7,483
DeltaBlue,Slowdown-150,8,486
DeltaBlue,Slowdown-150,9,484
Mandelbrot,Slowdown-150,1,327
Mandelbrot,Slowdown-150,10,326
Mandelbrot,Slowdown-150,2,326
Mandelbrot,Slowdown-150,3,326
Mandelbrot,Slowdown-150,4,327
Mandelbrot,Slowdown-150,5,326
Mandelbrot,Slowdown-150,6,326
Mandelbrot,Slowdown-150,7,326
Mandelbrot,Slowdown-150,8,326
Mandelbrot,Slowdown-150,9,327
Json,Slowdown-50,1,100
Richards,Slowdown-50,1,122
Richards,Slowdown-50,10,122
Json,Slowdown-50,10,100
Json,Slowdown-50,2,99
Richards,Slowdown-50,2,123
Json,Slowdown-50,3,99
Richards,Slowdown-50,3,122
Json,Slowdown-50,4,99
Richards,Slowdown-50,4,122
Richards,Slowdown-50,5,122
Json,Slowdown-50,5,100
Richards,Slowdown-50,6,122
Json,Slowdown-50,6,99
Richards,Slowdown-50,7,123
Json,Slowdown-50,7,99
Json,Slowdown-50,8,99
Richards,Slowdown-50,8,122
Richards,Slowdown-50,9,123
Json,Slowdown-50,9,99
CD,Slowdown-50,1,161
CD,Slowdown-50,10,161
CD,Slowdown-50,2,161
CD,Slowdown-50,3,161
CD,Slowdown-50,4,161
CD,Slowdown-50,5,161
CD,Slowdown-50,6,162
CD,Slowdown-50,7,161
CD,Slowdown-50,8,161
CD,Slowdown-50,9,161
Bounce,Slowdown-50,1,176
Sieve,Slowdown-50,1,269
List,Slowdown-50,1,278
Bounce,Slowdown-50,10,176
Sieve,Slowdown-50,10,269
List,Slowdown-50,10,277
Bounce,Slowdown-50,2,179
Sieve,Slowdown-50,2,269
List,Slowdown-50,2,278
Bounce,Slowdown-50,3,177
Sieve,Slowdown-50,3,269
List,Slowdown-50,3,278
Sieve,Slowdown-50,4,269
List,Slowdown-50,4,279
Bounce,Slowdown-50,4,189
Sieve,Slowdown-50,5,273
List,Slowdown-50,5,278
Bounce,Slowdown-50,5,178
Sieve,Slowdown-50,6,269
List,Slowdown-50,6,278
Bounce,Slowdown-50,6,182
List,Slowdown-50,7,278
Sieve,Slowdown-50,7,269
Bounce,Slowdown-50,7,181
List,Slowdown-50,8,277
Bounce,Slowdown-50,8,180
Sieve,Slowdown-50,8,269
Bounce,Slowdown-50,9,178
Sieve,Slowdown-50,9,269
List,Slowdown-50,9,277
NBody,Slowdown-50,1,162
NBody,Slowdown-50,10,162
NBody,Slowdown-50,2,162
NBody,Slowdown-50,3,162
NBody,Slowdown-50,4,163
NBody,Slowdown-50,5,162
NBody,Slowdown-50,6,162
NBody,Slowdown-50,7,162
NBody,Slowdown-50,8,162
NBody,Slowdown-50,9,162
Storage,Slowdown-50,1,233
Storage,Slowdown-50,10,233
Storage,Slowdown-50,2,232
Storage,Slowdown-50,3,233
Storage,Slowdown-50,4,233
Storage,Slowdown-50,5,233
Storage,Slowdown-50,6,233
Storage,Slowdown-50,7,233
Storage,Slowdown-50,8,233
Storage,Slowdown-50,9,233
Towers,Slowdown-50,1,179
Towers,Slowdown-50,10,179
Towers,Slowdown-50,2,179
Towers,Slowdown-50,3,179
Towers,Slowdown-50,4,179
Towers,Slowdown-50,5,179
Towers,Slowdown-50,6,179
Towers,Slowdown-50,7,179
Towers,Slowdown-50,8,179
Towers,Slowdown-50,9,179
Permute,Slowdown-50,1,142
Permute,Slowdown-50,10,142
Permute,Slowdown-50,2,142
Permute,Slowdown-50,3,142
Permute,Slowdown-50,4,142
Permute,Slowdown-50,5,142
Permute,Slowdown-50,6,142
Permute,Slowdown-50,7,142
Permute,Slowdown-50,8,142
Permute,Slowdown-50,9,142
Queens,Slowdown-50,1,106
Queens,Slowdown-50,10,106
Queens,Slowdown-50,2,106
Queens,Slowdown-50,3,106
Queens,Slowdown-50,4,106
Queens,Slowdown-50,5,106
Queens,Slowdown-50,6,106
Queens,Slowdown-50,7,106
Queens,Slowdown-50,8,106
Queens,Slowdown-50,9,106
DeltaBlue,Slowdown-50,1,311
DeltaBlue,Slowdown-50,10,312
DeltaBlue,Slowdown-50,2,311
DeltaBlue,Slowdown-50,3,309
DeltaBlue,Slowdown-50,4,311
DeltaBlue,Slowdown-50,5,310
DeltaBlue,Slowdown-50,6,312
DeltaBlue,Slowdown-50,7,311
DeltaBlue,Slowdown-50,8,315
DeltaBlue,Slowdown-50,9,315
Mandelbrot,Slowdown-50,1,196
Mandelbrot,Slowdown-50,10,196
Mandelbrot,Slowdown-50,2,196
Mandelbrot,Slowdown-50,3,196
Mandelbrot,Slowdown-50,4,196
Mandelbrot,Slowdown-50,5,196
Mandelbrot,Slowdown-50,6,196
Mandelbrot,Slowdown-50,7,196
Mandelbrot,Slowdown-50,8,196
Mandelbrot,Slowdown-50,9,196
Havlak,Slowdown-100,1,438
Havlak,Slowdown-100,10,438
Havlak,Slowdown-100,2,438
Havlak,Slowdown-100,3,439
Havlak,Slowdown-100,4,440
Havlak,Slowdown-100,5,442
Havlak,Slowdown-100,6,440
Havlak,Slowdown-100,7,439
Havlak,Slowdown-100,8,439
Havlak,Slowdown-100,9,439
Havlak,Slowdown-150,1,504
Havlak,Slowdown-150,10,504
Havlak,Slowdown-150,2,504
Havlak,Slowdown-150,3,506
Havlak,Slowdown-150,4,503
Havlak,Slowdown-150,5,505
Havlak,Slowdown-150,6,504
Havlak,Slowdown-150,7,504
Havlak,Slowdown-150,8,503
Havlak,Slowdown-150,9,505
Havlak,Slowdown-50,1,300
Havlak,Slowdown-50,10,298
Havlak,Slowdown-50,2,298
Havlak,Slowdown-50,3,298
Havlak,Slowdown-50,4,298
Havlak,Slowdown-50,5,297
Havlak,Slowdown-50,6,298
Havlak,Slowdown-50,7,298
Havlak,Slowdown-50,8,298
Havlak,Slowdown-50,9,297
